"date","time","ID1","behavior"
"25/01/2018","14:34:04","Moniek","crossedarm_walk"
"25/01/2018","14:36:10","Moniek","crossedarm_walk"
"25/01/2018","14:39:08","Morami","crossedarm_walk"
"25/01/2018","14:42:06","Morami","crossedarm_walk"
"25/01/2018","15:25:39","Morami","crossedarm_walk"
"25/01/2018","15:29:14","Morami","crossedarm_walk"
"26/01/2018","09:59:07","Morami","crossedarm_walk"
"26/01/2018","10:00:34","Morami","crossedarm_walk"
"01/02/2018","11:25:42","Morami","crossedarm_walk"
"01/02/2018","11:53:09","Moni","crossedarm_walk"
"01/02/2018","11:53:27","Moni","crossedarm_walk"
"01/02/2018","11:54:59","Moni","crossedarm_walk"
"01/02/2018","11:57:28","Moni","crossedarm_walk"
"01/02/2018","12:32:30","Moni","crossedarm_walk"
"01/02/2018","12:33:27","Morami","crossedarm_walk"
"06/02/2018","11:40:10","Morami","crossedarm_walk"
"06/02/2018","11:41:46","Morami","crossedarm_walk"
"06/02/2018","11:49:04","Morami","crossedarm_walk"
"08/02/2018","12:22:15","Moni","crossedarm_walk"
"08/02/2018","12:23:00","Moni","crossedarm_walk"
"13/02/2018","14:26:46","Morami","crossedarm_walk"
"15/02/2018","12:35:27","Morami","crossedarm_walk"
"15/02/2018","12:36:51","Morami","crossedarm_walk"
"15/02/2018","12:41:53","Moniek","crossedarm_walk"
"16/02/2018","09:42:54","Morami","crossedarm_walk"
"16/02/2018","09:43:47","Morami","crossedarm_walk"
"16/02/2018","09:45:57","Moniek","crossedarm_walk"
"16/02/2018","09:47:03","Morami","crossedarm_walk"
"16/02/2018","09:48:49","Tushi","crossedarm_walk"
"16/02/2018","09:51:12","Morami","crossedarm_walk"
"16/02/2018","09:52:07","Moniek","crossedarm_walk"
"20/02/2018","13:57:29","Morami","crossedarm_walk"
"23/02/2018","13:51:31","Moni","crossedarm_walk"
